rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR473453","At The Stars","better than ezra","better than ezra","How Does Your Garden Grow?","1998","4","1999-03-13","1","VALID","0",""
"RVTR473455","Lord Mr Ford","jerry reed","jerry reed","Lord, Mr. Ford","1973","7","1973-07-07","1","VALID","0",""
"RVTR473517","Papa Was A Rollin' Stone","The Undisputed Truth","The Undisputed Truth","Law Of The Land","1973","5","1972-06-10","1","VALID","0",""
"RVTR473552","What It Feels Like For A Girl","madonna","madonna","Music","2000","10","2001-05-05","1","VALID","0",""
"RVTR473566","Everything'S Gonna Be Alright","david lee murphy","","","","13","2018-05-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR473570","Come What May","clyde mcphatter","","","","3","1958-08-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR473590","The Game Of Love","santana","santana","Shaman | Ultimate Santana","2002","37","2002-10-05","1","AMBIGUOUS","70","multiple_albums"
"RVTR473691","Boom Biddy Bye Bye","cypress hill","cypress hill","Cypress Hill III (Temple Of Boom)","1995","3","1996-06-22","1","VALID","0",""
"RVTR473693","Next Door To The Blues","etta james","etta james","Etta James Top Ten | Her Best","1963","7","1962-10-13","1","AMBIGUOUS","70","multiple_albums"
"RVTR473716","Unbroken","tim mcgraw","tim mcgraw","Greatest Hits 3 | Love Story | Set This Circus Down","2001","20","2002-07-06","1","AMBIGUOUS","70","multiple_albums"
"RVTR473836","Didn'T You Know You'D Have To Cry Sometime","gladys knight and the pips","gladys knight and the pips","Best Of Gladys Knight & The Pips | Nitty Gritty","1969","7","1969-03-08","1","AMBIGUOUS","70","multiple_albums"
"RVTR473855","Zip Code","The Five Americans","","","","7","1967-08-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR473908","Notorious","loverboy","loverboy","Big Ones | Wildside","1987","14","1987-08-22","1","AMBIGUOUS","70","multiple_albums"
"RVTR473909","Lock On Me","metro boomin, travis scott","","","","1","2022-12-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR473956","Country Preacher","cannonball adderley","cannonball adderley","Country Preacher | Phenix","1970","3","1970-01-17","1","AMBIGUOUS","70","multiple_albums"
"RVTR473984","Kissin' Time","bobby rydell","","","","17","1959-06-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474011","If It'S Real What I Feel","jerry butler","","","","8","1971-03-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474076","Blue Orchid","The White Stripes","The White Stripes","Get Behind Me Satan","2005","7","2005-05-07","1","VALID","0",""
"RVTR474163","Get Ready","The Temptations","The Temptations","25th Anniversary | Gettin' Ready | Live At The Copa | My Girl: The Very Best Of The Temptations | The Temptations Greatest Hits | The Ultimate Collection","1966","7","1966-02-26","1","AMBIGUOUS","70","multiple_albums"
"RVTR474213","Shone","flo rida","","","","1","2009-03-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474295","Red Solo Cup","toby keith","toby keith","Clancy's Tavern","2011","20","2011-11-12","1","VALID","0",""
"RVTR474296","Rubberband Girl","kate bush","kate bush","The Red Shoes","1993","6","1993-12-25","1","VALID","0",""
"RVTR474336","No Return","polo g","polo g","Hall of Fame","2021","2","2021-06-26","1","VALID","0",""
"RVTR474385","Heart Don'T Lie","latoya jackson","","","","8","1984-05-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474388","Jack Diane","john cougar","john cougar","American Fool","1982","22","1982-07-24","1","VALID","0",""
"RVTR474426","Kamikaze","eminem","eminem","Kamikaze","2018","3","2018-09-15","1","VALID","0",""
"RVTR474452","Ask Me","maxine brown","","","","5","1963-04-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474453","Party In The U S A","miley cyrus","miley cyrus","The Time Of Our Lives (EP)","2009","29","2009-08-29","1","VALID","0",""
"RVTR474458","Ta Ta","clyde mcphatter","","","","14","1960-07-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474504","Let Me See Ya Girl","cole swindell","cole swindell","Cole Swindell","2014","18","2015-08-22","1","VALID","0",""
"RVTR474612","Peace Brother Peace","bill medley","bill medley","Soft And Soulful","1969","7","1968-10-26","1","VALID","0",""
"RVTR474659","Wild One","martha","","","","7","1964-12-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474666","Old To The New","nice","","","","7","1994-07-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474674","Inside Of You","ray, goodman","","","","4","1980-05-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474709","Dreamin' Is Easy","steel breeze","steel breeze","Steel Breeze","1982","13","1983-01-15","1","VALID","0",""
"RVTR474766","You Make Loving Fun","fleetwood mac","fleetwood mac","Opus Collection | Rumours | The Very Best Of Fleetwood Mac","1977","14","1977-10-15","1","AMBIGUOUS","70","multiple_albums"
"RVTR474810","Bom Bidi Bom","nick jonas","","","","1","2017-03-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474822","Suddenly","nickey dematteo","","","","2","1960-03-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474926","As Time Goes By","nilsson","","","","5","1973-09-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR474932","She'S A Fool","lesley gore","lesley gore","Lesley Gore Sings Of Mixed-Up Hearts | The Golden Hits Of Lesley Gore","1964","15","1963-09-28","1","AMBIGUOUS","70","multiple_albums"
"RVTR474955","Smile","lily allen","lily allen","Alright, Still...","2007","16","2007-02-10","1","VALID","0",""
"RVTR474970","Born To Be Yours","kygo","","","","2","2018-06-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475027","I'Ll Never Love Again","lady gaga","","","","7","2018-10-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475072","Change Your Mind","sister hazel","sister hazel","Fortress","2000","20","2000-07-15","1","VALID","0",""
"RVTR475087","Toot It And Boot It","yg","","","","11","2010-09-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475097","Oh What A Night For Dancing","barry white","barry white","Barry White Sings For Someone You Love | The Best Of Barry White: 20th Century Masters The Millennium Collection","1977","11","1978-04-29","1","AMBIGUOUS","70","multiple_albums"
"RVTR475103","Sitting In The Park","billy stewart","billy stewart","I Do Love You","1965","8","1965-06-19","1","VALID","0",""
"RVTR475170","Music","erick sermon","erick sermon","[Music]","2001","20","2001-06-02","1","VALID","0",""
"RVTR475214","Afro Strut","The Nite-liters","The Nite-liters","Instrumental Directions","1972","8","1972-02-26","1","VALID","0",""
"RVTR475224","Spaceman","The Killers","The Killers","Day & Age | Direct Hits","2008","1","2008-11-22","1","AMBIGUOUS","70","multiple_albums"
"RVTR475252","It Won'T Be This Way Always","The King Pins","","","","2","1963-08-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475263","Never Be Anyone Else But You","ricky nelson","ricky nelson","Greatest Hits","2006","16","1959-02-21","1","VALID","0",""
"RVTR475266","Good Enough","sarah mclachlan","sarah mclachlan","Closer: The Best Of Sarah McLachlan | Fumbling Towards Ecstasy | Mirrorball | The Freedom Sessions","1994","10","1994-10-08","1","AMBIGUOUS","70","multiple_albums"
"RVTR475290","Should I Stay Or Should I Go","The Clash","The Clash","The Essential Clash","2003","23","1982-07-17","1","VALID","0",""
"RVTR475352","If You Want Me To Stay","sly","","","","17","1973-06-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475416","Do They Know It'S Christmas","band aid","","","","9","1984-12-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475427","Viva Las Vegas","elvis presley","elvis presley","Elvis | Elvis: Viva Las Vegas | Elvis' Gold Records, Volume 4","1968","8","1964-05-09","1","AMBIGUOUS","70","multiple_albums"
"RVTR475479","One More Drink","ludacris co-starring t-pain","","","","18","2008-11-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475527","Soul Song","joe stampley","","","","13","1973-01-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475541","Let The Day Begin","The Call","The Call","Let The Day Begin","1989","9","1989-07-22","1","VALID","0",""
"RVTR475559","That'S Not My Name","The Ting Tings","","","","26","2008-12-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475561","All Of You","stephanie beatriz, olga merediz, john leguizamo, adassa, maluma","","","","7","2022-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475632","Shoulder Lean","young dro","young dro","Best Thang Smokin'","2006","20","2006-06-17","1","VALID","0",""
"RVTR475649","I Belong To You Every Time I See Your Face","rome","rome","Rome","1997","26","1997-03-15","1","VALID","0",""
"RVTR475661","Kiss The Bride","elton john","elton john","Too Low For Zero","1983","12","1983-08-06","1","VALID","0",""
"RVTR475666","Secret Agent Man","The Ventures","","","","7","1966-02-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475796","Say Something","justin timberlake","justin timberlake","Man Of The Woods","2018","16","2018-02-10","1","VALID","0",""
"RVTR475823","Lollipop","framing hanley","framing hanley","The Moment","2009","10","2009-01-10","1","VALID","0",""
"RVTR475839","Black Berries Pt 1","The Isley Brothers","","","","4","1969-08-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR475866","A Sweet Woman Like You","joe tex","joe tex","The Best Of Joe Tex | The Love You Save","1966","9","1965-12-04","1","AMBIGUOUS","70","multiple_albums"
"RVTR475905","My Last","big sean","big sean","Finally Famous","2011","21","2011-03-19","1","VALID","0",""
"RVTR475949","Shoop","salt-n-pepa","salt-n-pepa","Very Necessary","1993","25","1993-10-09","1","VALID","0",""
"RVTR475960","Unconditionally","katy perry","katy perry","PRISM","2013","20","2013-11-09","1","VALID","0",""
"RVTR475966","Halfcrazy","musiq","musiq","Juslisen (Just Listen)","2002","25","2002-03-23","1","VALID","0",""
"RVTR476002","Young Blood","rickie lee jones","rickie lee jones","Naked Songs | Rickie Lee Jones","1979","9","1979-07-28","1","AMBIGUOUS","70","multiple_albums"
"RVTR476008","You Be Killin Em","fabolous","fabolous","There Is No Competition 2: The Grieving Music Mixtape","2010","18","2011-01-01","1","VALID","0",""
"RVTR476011","It Hurts To Be In Love","gene pitney","gene pitney","Greatest Hits Of All Times | It Hurts To Be In Love | Looking Through The Eyes Of Love","1964","16","1964-07-18","1","AMBIGUOUS","70","multiple_albums"
"RVTR476012","How Do I Make You","linda ronstadt","linda ronstadt","Mad Love","1980","16","1980-02-02","1","VALID","0",""
"RVTR476029","You Have Placed A Chill In My Heart","eurythmics","eurythmics","Greatest Hits | Savage","1987","7","1988-05-28","1","AMBIGUOUS","70","multiple_albums"
"RVTR476058","Out Of My Heart Into Your Head","bbmak","","","","8","2002-08-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476075","Funky Cold Medina","tone-loc","tone-loc","Loc-ed After Dark","1989","18","1989-03-04","1","VALID","0",""
"RVTR476168","Can'T Nobody Hold Me Down","puff daddy","","","","28","1997-01-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476191","Run Rudolph Run","mark ambor","","","","1","2025-01-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476213","Don'T Phunk With My Heart","The Black Eyed Peas","","","","26","2005-04-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476245","Work It Reinvention","nelly","","","","5","2004-03-06","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476279","Twixt Twelve And Twenty","pat boone","","","","11","1959-06-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476302","More Than The Eye Can See","al martino","al martino","This Is Al Martino","1968","6","1967-09-23","1","VALID","0",""
"RVTR476355","Tubular Bells","mike oldfield","","","","16","1974-02-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476369","Automatic","miranda lambert","","","","19","2014-03-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476401","Bring It On Home","lou rawls","","","","5","1970-08-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476478","Best On Earth","russ","","","","20","2019-12-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476515","Livin' Thing","electric light orchestra","electric light orchestra","A New World Record | Mr. Blue Sky: The Very Best Of Electric Light Orchestra","1976","18","1976-10-23","1","AMBIGUOUS","70","multiple_albums"
"RVTR476534","Sitting In Limbo","don brown","","","","5","1978-03-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476557","I Did It","dave matthews band","dave matthews band","Everyday | Live At Folsom Field Boulder Colorado","2001","11","2001-01-27","1","AMBIGUOUS","70","multiple_albums"
"RVTR476572","Like A Woman","The Tony Rich Project","The Tony Rich Project","Words","1996","15","1996-07-27","1","VALID","0",""
"RVTR476600","You Got What It Takes","marv johnson","","","","22","1959-10-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476645","Stay Awake","ronnie laws","ronnie laws","Solid Ground","1981","9","1981-09-12","1","VALID","0",""
"RVTR476713","Moon Talk","perry como","","","","9","1958-08-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476722","As Usual","brenda lee","brenda lee","10 Golden Years | By Request","1964","11","1963-12-14","1","AMBIGUOUS","70","multiple_albums"
"RVTR476730","Feel That Fire","dierks bentley","dierks bentley","Feel That Fire","2009","21","2008-10-25","1","VALID","0",""
"RVTR476733","Best Of My Love","The Emotions","The Emotions","Rejoice","1977","23","1977-06-11","1","VALID","0",""
"RVTR476752","Karate Boo Ga Loo","jerryo","","","","9","1967-09-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476792","Shoot Your Shot","jr. walker","","","","7","1967-07-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476846","Anything Goes","harpers bizarre","harpers bizarre","Anything Goes","1967","8","1967-08-19","1","VALID","0",""
"RVTR476855","My Body","lsg","lsg","Levert.Sweat.Gill","1997","20","1997-11-01","1","VALID","0",""
"RVTR476940","At The Shore","johnny caswell","","","","1","1963-08-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476962","Aquarius Let The Sunshine In The Flesh Failures","The 5th Dimension","","","","17","1969-03-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476978","Don'T Walk Away","rick springfield","","","","12","1984-05-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR476985","Moving To Mars","coldplay","","","","1","2011-07-16","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477002","Doesn'T Somebody Want To Be Wanted","The Partridge Family Starring Shirley Jones","","","","12","1971-02-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477094","Takin' Shots","post malone","post malone","beerbongs & bentleys","2018","3","2018-05-12","1","VALID","0",""
"RVTR477136","Make Love","gucci mane","","","","1","2017-03-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477170","Billy","6ix9ine","6ix9ine","DAY69","2018","8","2018-03-10","1","VALID","0",""
"RVTR477180","Cinderella","firefall","firefall","Firefall","1976","10","1977-03-26","1","VALID","0",""
"RVTR477265","Bad Brakes","cat stevens","","","","4","1979-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477268","Stay","florida georgia line","florida georgia line","Here's To The Good Times","2012","20","2013-11-02","1","VALID","0",""
"RVTR477451","Hurricane","luke combs","luke combs","This One's For You","2017","22","2017-03-04","1","VALID","0",""
"RVTR477466","The Five Pennies","dodie stevens","","","","1","1959-06-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477473","Dura","daddy yankee","","","","21","2018-02-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477510","The Living Years","mike + the mechanics","mike + the mechanics","Living Years","1988","20","1989-01-07","1","VALID","0",""
"RVTR477565","Officially Missing You","tamia","tamia","More","2004","18","2003-08-02","1","VALID","0",""
"RVTR477566","Johnny Come Home","fine young cannibals","fine young cannibals","Fine Young Cannibals","1986","5","1986-04-05","1","VALID","0",""
"RVTR477571","Shake That Sh","shawnna","","","","14","2004-07-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477621","Truck Bed","hardy","hardy","the mockingbird & THE CROW","2023","41","2023-06-24","1","VALID","0",""
"RVTR477624","Bb Good","jonas brothers","jonas brothers","A Little Bit Longer","2008","1","2008-08-30","1","VALID","0",""
"RVTR477642","Jesus Is Just Alright","The Byrds","The Byrds","Ballad Of Easy Rider | The Best Of The Byrds (Greatest Hits, Volume II)","1969","1","1970-02-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR477699","Never Wanted Nothing More","kenny chesney","kenny chesney","Just Who I Am: Poets & Pirates","2007","20","2007-07-07","1","VALID","0",""
"RVTR477711","Run For Home","lindisfarne","","","","14","1978-09-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477731","A Song That Never Comes","mama cass elliot","","","","2","1970-08-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477828","Town Without Pity","gene pitney","gene pitney","Greatest Hits Of All Times | Looking Through The Eyes Of Love","1965","20","1961-10-28","1","AMBIGUOUS","70","multiple_albums"
"RVTR477842","Hold On To Me","john michael montgomery","john michael montgomery","Leave A Mark","1998","19","1998-12-05","1","VALID","0",""
"RVTR477871","Some Of Shelly'S Blues","nitty gritty dirt band","","","","8","1971-09-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477880","A Stranger In Your Town","The Shacklefords","","","","6","1963-05-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR477882","Somebody Else Will","justin moore","justin moore","Kinda Don't Care","2016","13","2017-06-24","1","VALID","0",""
"RVTR478023","Baby Don'T Cry Keep Ya Head Up Ii","2pac + outlawz","","","","7","2000-02-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478033","The End Is Not In Sight The Cowboy Tune","amazing rhythm aces","amazing rhythm aces","Too Stuffed To Jump","1976","10","1976-09-18","1","VALID","0",""
"RVTR478078","Once In A Lifetime","talking heads","talking heads","Popular Favorites 1976-1992: Sand In The Vaseline | Remain In Light | Same As It Ever Was | Stop Making Sense","1980","4","1986-04-19","1","AMBIGUOUS","70","multiple_albums"
"RVTR478105","Get Crunked Up","iconz","","","","4","2001-02-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478117","Happy","mudvayne","mudvayne","Lost And Found","2005","4","2005-04-30","1","VALID","0",""
"RVTR478159","Settle Down Goin' Down That Highway","peter, paul","","","","6","1963-01-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478189","Green Green Grass Of Home","tom jones","tom jones","Green, Green Grass Of Home | Tom Jones Live!","1967","12","1966-12-24","1","AMBIGUOUS","70","multiple_albums"
"RVTR478190","It Never Rains In Southern California","tony! toni! tone!","","","","15","1990-12-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478327","Chains","The Cookies","","","","12","1962-11-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478342","Black Or White","glee cast","","","","1","2012-02-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478362","Hate I Really Don'T Like You","plain white t's","plain white t's","Every Second Counts","2006","6","2006-11-18","1","VALID","0",""
"RVTR478368","Unforgettable","thomas rhett","thomas rhett","Life Changes","2017","20","2017-08-19","1","VALID","0",""
"RVTR478369","There Goes My Everything","jack greene","jack greene","All The Time | There Goes My Everything","1967","9","1967-01-07","1","AMBIGUOUS","70","multiple_albums"
"RVTR478415","For Love","lloyd price and his orchestra","","","","6","1960-04-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478439","My World","chuckyy","","","","2","2025-05-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478470","Black Widow","iggy azalea","iggy azalea","Reclassified | The New Classic","2014","30","2014-07-19","1","AMBIGUOUS","70","multiple_albums"
"RVTR478484","Superman","eminem","","","","16","2003-02-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478506","The Rockford Files","mike post","mike post","Railhead Overture","1975","16","1975-05-17","1","VALID","0",""
"RVTR478517","Case Of The Ex Whatcha Gonna Do","mya","mya","Fear Of Flying","2000","30","2000-08-19","1","VALID","0",""
"RVTR478528","Harry Hippie","bobby womack","bobby womack","Understanding","1972","12","1972-12-09","1","VALID","0",""
"RVTR478567","Seattle","perry como","perry como","Seattle","1969","10","1969-04-12","1","VALID","0",""
"RVTR478615","Baby What You Want Me To Do","jimmy reed","","","","14","1960-02-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478695","Lucky","britney spears","britney spears","Oops!...I Did It Again","2000","11","2000-08-12","1","VALID","0",""
"RVTR478697","Tearin' Up My Heart","*nsync","*nsync","*NSYNC","1998","1","1998-12-05","1","VALID","0",""
"RVTR478717","The Matador","major lance","major lance","Major's Greatest Hits","1965","8","1964-03-28","1","VALID","0",""
"RVTR478733","Igual Que Un Angel","kali uchis","","","","10","2024-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478756","Shoot'Em Up Baby","andy kim","","","","10","1968-09-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478772","I'Ll Wait For You","joe nichols","joe nichols","Greatest Hits","2011","12","2007-02-17","1","VALID","0",""
"RVTR478774","Losing You","dusty springfield","","","","4","1965-03-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478775","Gnf Okokok","polo g","","","","1","2021-02-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478906","Baby You'Re Right","james brown and the famous flames","","","","4","1961-08-19","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR478919","Simple","florida georgia line","florida georgia line","Florida Georgia Line (EP)","2018","20","2018-06-16","1","VALID","0",""
"RVTR478995","Dedicated","r. kelly","","","","20","1993-02-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479049","Beg Borrow And Steal","ohio express","","","","12","1967-10-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479115","You To Me Are Everything","The Real Thing","","","","8","1976-07-17","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479117","Without You","johnny tillotson","","","","13","1961-08-05","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479141","The Stripper","david rose and his orchestra","","","","17","1962-05-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479258","You And Your Baby Blues","solomon burke","","","","2","1975-03-22","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479269","I Wanna Be Your Girl","icy blu","","","","20","1991-11-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479271","Coney Island","taylor swift","","","","1","2020-12-26","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479284","The Cat Walk","The Village Soul Choir","","","","10","1970-02-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479328","Lightnin' Strikes","lou christie","","","","15","1965-12-25","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479340","He'Ll Have To Stay","jeanne black","","","","11","1960-04-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479386","You'Ve Been Cheatin'","The Impressions","The Impressions","The Impressions Greatest Hits","1965","9","1965-11-20","1","VALID","0",""
"RVTR479387","Hrs And Hrs","muni long","","","","20","2022-01-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479456","For The First Time","The Script","The Script","Science & Faith","2011","29","2011-01-01","1","VALID","0",""
"RVTR479478","Chuck E 'S In Love","rickie lee jones","rickie lee jones","Naked Songs","1995","15","1979-04-28","1","VALID","0",""
"RVTR479580","It'S You That I Need","enchantment","enchantment","Enchantment","1977","11","1978-02-04","1","VALID","0",""
"RVTR479600","Ocean","tk kravitz","","","","3","2018-07-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479609","Mothers Talk","tears for fears","tears for fears","Songs From The Big Chair","1985","12","1986-04-12","1","VALID","0",""
"RVTR479674","Tar And Cement","verdelle smith","","","","8","1966-07-09","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479684","Stone Cold Gentleman","ralph tresvant","","","","11","1991-02-23","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479735","Rock 'N' Roll Fantasy","bad company","bad company","Desolation Angels | Live 1977 / Live 1979","1979","20","1979-03-17","1","AMBIGUOUS","70","multiple_albums"
"RVTR479801","Sober Saturday Night","chris young","chris young","I'm Comin' Over","2015","11","2017-01-21","1","VALID","0",""
"RVTR479806","Like A Prayer","madonna","madonna","I'm Going To Tell You A Secret (Soundtrack) | Like A Prayer","1989","16","1989-03-18","1","AMBIGUOUS","70","multiple_albums"
"RVTR479811","God Must Be Busy","brooks","","","","11","2008-02-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479817","All The Parties","drake","","","","2","2023-10-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479859","Even If It Breaks Your Heart","eli young band","eli young band","Life At Best","2011","20","2012-03-31","1","VALID","0",""
"RVTR479860","Frankie And Johnny","elvis presley","elvis presley","Frankie And Johnny","1966","8","1966-03-19","1","VALID","0",""
"RVTR479862","Dancing Crazy","miranda cosgrove","","","","1","2011-04-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR479868","Memory","barry manilow","barry manilow","Greatest Hits-vol Ii | Here Comes The Night | Live On Broadway | The Complete Collection","1982","14","1982-11-20","1","AMBIGUOUS","70","multiple_albums"
"RVTR479871","Lonely Boy","The Black Keys","The Black Keys","El Camino | The Tour Rehearsal Tapes (EP)","2011","20","2011-11-12","1","AMBIGUOUS","70","multiple_albums"
